accession,gene_name,protein_name,length,family,domains,n_domains,idr_percentage,idr_total_length,n_idr_regions,ps_score,ps_category,charge_density,aromatic_density,species,species_key,complexity,LLPhyScore_mean,LLPhyScore_median,LLPhyScore_max,disorder_long_mean,pi_pi_mean,electrostatic_mean,protein_water_mean,llphy_category
Q8K339,Kin Btcd Kin17,"DNA/RNA-binding protein KIN17 (Binding to curved DNA) (KIN, antigenic determinant of recA protein)",391,Other,,0,60.61,175,6,0.345,Medium,32.992,6.905,Mus musculus,mouse,high,-292.0,52.98698108572832,0.2131805945659993,-62.0,-105.0,-30.0,-36.0,Low
Q8R2U6,Nudt4 Dipp2,"Diphosphoinositol polyphosphate phosphohydrolase 2 (DIPP-2) (EC 3.6.1.52) (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 2) (EC 3.6.1.61) (Nucleoside diphosphate-linked moiety X motif 4) (Nudix motif 4)",179,Other,,0,64.8,74,3,0.359,Medium,29.05,8.38,Mus musculus,mouse,high,-116.0,78.60476541390322,0.5398553269567563,-31.0,-42.0,9.0,-9.0,Low
Q8VBU8,Banp Smar1,Protein BANP (Btg3-associated nuclear protein) (Scaffold/matrix-associated region-1-binding protein),548,Other,,0,63.32,297,9,0.316,Medium,18.613,3.467,Mus musculus,mouse,high,-170.0,70.04667157946452,0.4396255795186831,-61.0,-79.0,49.0,30.0,Low
Q8R151,Znfx1,NFX1-type zinc finger-containing protein 1,1909,Other,,0,41.33,557,16,0.25,Low,25.458,6.496,Mus musculus,mouse,high,-1701.0,1.8029968066814053,-2.4020733709940947,-279.0,-582.0,-59.0,-195.0,Low
Q8VEK3,Hnrnpu Hnrpu,Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (Scaffold-attachment factor A) (SAF-A),800,hnRNP,,0,68.5,470,5,0.374,Medium,29.0,7.875,Mus musculus,mouse,high,551.0,99.43994104642594,1.7778783184603637,9.0,30.0,74.0,175.0,High
Q8R316,Hbp1,HMG box-containing protein 1 (HMG box transcription factor 1) (High mobility group box transcription factor 1),516,Other,,0,62.02,266,5,0.332,Medium,23.256,8.527,Mus musculus,mouse,high,45.0,95.27634487840828,0.8386884628369373,3.0,-65.0,82.0,49.0,High
Q8R3N6,Thoc1 Hpr1,THO complex subunit 1 (Nuclear matrix protein p84),657,Other,,0,47.18,277,11,0.284,Low,28.311,8.98,Mus musculus,mouse,high,-539.0,27.46253991648244,-0.2452776946414833,-68.0,-174.0,-29.0,-37.0,Low
Q8VC51,Wrap53 Tcab1 Wdr79,Telomerase Cajal body protein 1 (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene homolog),532,Other,,0,55.45,241,7,0.303,Medium,20.865,8.647,Mus musculus,mouse,high,-138.0,75.2075657086711,0.4990209854079116,-52.0,-75.0,42.0,36.0,Low
Q8R081,Hnrnpl Hnrpl,Heterogeneous nuclear ribonucleoprotein L (hnRNP L),586,hnRNP,RRM,1,55.97,317,7,0.308,Medium,21.16,8.703,Mus musculus,mouse,high,106.0,96.90493736182756,0.9519109553132792,-39.0,4.0,76.0,105.0,High
Q8R1B4,Eif3c Eif3s8,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110),911,Other,,0,54.34,447,11,0.318,Medium,32.602,6.806,Mus musculus,mouse,high,-743.0,13.996561041513145,-0.6239234071853152,-150.0,-207.0,-10.0,-90.0,Low
Q8R3C6,Rbm19,Probable RNA-binding protein 19 (RNA-binding motif protein 19),952,RRM-containing,RRM,1,70.06,580,11,0.38,Medium,30.462,7.458,Mus musculus,mouse,high,-301.0,51.70474084991403,0.1964756366596538,-155.0,-173.0,24.0,38.0,Low
Q8R418,Dicer1 Dicer Mdcr,Endoribonuclease Dicer (EC 3.1.26.3) (Double-strand-specific ribonuclease mDCR-1),1916,Helicase,dsRBD|Helicase|PAZ,3,44.68,638,21,0.269,Low,25.783,8.716,Mus musculus,mouse,high,-1832.0,1.5278801277327438,-2.6452233138531236,-307.0,-511.0,-32.0,-144.0,Low
Q8R5F7,Ifih1,Interferon-induced helicase C domain-containing protein 1 (EC 3.6.4.13) (Helicase with 2 CARD domains) (Helicard) (Interferon induced with helicase C domain protein 1) (Melanoma differentiation-associated protein 5) (MDA-5) (RIG-I-like receptor 2) (RLR-2),1025,Helicase,Helicase,1,45.27,376,13,0.268,Low,27.122,6.732,Mus musculus,mouse,high,-987.0,7.236551215917466,-1.0768133770906827,-198.0,-265.0,-51.0,-92.0,Low
Q8VDS3,Cbx7 D15Ertd417e,Chromobox protein homolog 7,158,Other,,0,79.11,118,4,0.429,Medium,33.544,8.228,Mus musculus,mouse,high,-30.0,90.69270449521002,0.699480480284058,-24.0,-35.0,18.0,9.0,Low
Q8R3F9,Tut1 Rbm21,Speckle targeted PIP5K1A-regulated poly(A) polymerase (Star-PAP) (EC 2.7.7.19) (RNA-binding motif protein 21) (RNA-binding protein 21) (U6 snRNA-specific terminal uridylyltransferase 1) (U6-TUTase) (EC 2.7.7.52),869,RRM-containing,RRM,1,65.82,529,11,0.343,Medium,23.245,5.063,Mus musculus,mouse,high,-521.0,28.852861704740853,-0.2118677788287923,-116.0,-242.0,-46.0,80.0,Low
Q8R3G1,Ppp1r8 Nipp1,Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8),351,Other,,0,62.68,191,5,0.338,Medium,24.786,5.983,Mus musculus,mouse,high,-124.0,77.24392041267502,0.5250064754844491,-29.0,-67.0,13.0,7.0,Low
Q8R409,Hexim1 Clp1,Protein HEXIM1 (Cardiac lineage protein 1),356,Other,,0,93.26,330,6,0.479,Medium,34.551,5.056,Mus musculus,mouse,high,51.0,95.52935396708426,0.8498251014411676,4.0,-54.0,-8.0,50.0,High
Q8VD12,Znf385a Hzf Zfp385a,Zinc finger protein 385A (Hematopoietic zinc finger protein),386,Other,,0,74.61,260,3,0.371,Medium,18.912,3.109,Mus musculus,mouse,high,-163.0,71.1078359125522,0.4526183245569518,-6.0,-82.0,-29.0,45.0,Low
Q8VE92,Rbm4b Rbm30,RNA-binding protein 4B (RNA-binding motif protein 30) (RNA-binding motif protein 4B) (RNA-binding protein 30),357,RRM-containing,RRM,1,68.91,226,6,0.363,Medium,24.09,10.364,Mus musculus,mouse,high,-172.0,69.78138049619258,0.4359133666506063,-84.0,3.0,5.0,36.0,Low
Q8R326,Pspc1 Psp1,Paraspeckle component 1 (Paraspeckle protein 1) (mPSP1),523,RRM-containing,RRM,1,83.56,411,5,0.434,Medium,29.828,5.736,Mus musculus,mouse,high,11.0,93.69442397445346,0.775580844079632,-14.0,-50.0,-16.0,61.0,High
Q8VDW0,Ddx39a Ddx39,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39),427,Helicase,Helicase,1,25.29,67,3,0.194,Low,28.103,7.963,Mus musculus,mouse,high,-317.0,49.69540653402113,0.1667779337150395,-85.0,-105.0,34.0,-30.0,Low
Q8VHJ7,Ppargc1b Errl1 Pgc1 Pgc1b Ppargc1,Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta) (ERR ligand 1),1014,RRM-containing,RRM,1,84.42,802,14,0.431,Medium,28.402,4.832,Mus musculus,mouse,high,-365.0,43.876197494473104,0.0776848248811967,6.0,-285.0,75.0,57.0,Low
Q8VI93,Oas3 oasl10,"2'-5'-oligoadenylate synthase 3 ((2-5')oligo(A) synthase 3) (2-5A synthase 3) (EC 2.7.7.84) (2',5'-oligoadenylate synthetase-like 10)",1138,Other,,0,55.8,500,17,0.301,Medium,20.475,8.26,Mus musculus,mouse,high,-1219.0,4.411692458855319,-1.5074300697875895,-220.0,-303.0,-61.0,-20.0,Low
Q8VI95,Oas1d Oasl8,Inactive 2'-5'-oligoadenylate synthase 1D,361,Other,,0,19.94,51,3,0.175,Low,24.931,13.296,Mus musculus,mouse,high,-523.0,28.7030213706706,-0.2155799916968691,-91.0,-118.0,-32.0,-58.0,Low
Q91WT8,Rbm47,RNA-binding protein 47 (RNA-binding motif protein 47),590,RRM-containing,RRM,1,55.25,285,11,0.303,Medium,20.678,9.153,Mus musculus,mouse,high,-265.0,56.5192827315156,0.2632954682850359,-158.0,-15.0,8.0,53.0,Low
Q8VIJ6,Sfpq Psf,"Splicing factor, proline- and glutamine-rich (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)",699,RRM-containing,RRM,1,91.27,612,4,0.461,Medium,24.75,5.15,Mus musculus,mouse,high,461.0,99.29746990911325,1.610828739396908,65.0,25.0,47.0,177.0,High
Q91VC3,Eif4a3 Ddx48,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",411,Helicase,Helicase,1,34.55,88,3,0.227,Low,27.251,7.299,Mus musculus,mouse,high,-423.0,37.23409481699829,-0.0299693482930299,-135.0,-104.0,2.0,-41.0,Low
Q91WM1,Strbp Spnr,Spermatid perinuclear RNA-binding protein,672,Other,,0,59.52,331,9,0.323,Medium,25.595,5.357,Mus musculus,mouse,high,-470.0,32.67993122083026,-0.1172063506928343,-106.0,-129.0,-43.0,3.0,Low
Q91WS2,Nlrp6 Nalp6 Navr Pypaf5,"NACHT, LRR and PYD domains-containing protein 6 (Angiotensin II/vasopressin receptor) (Non-angiotensin-vasopressin receptor) (Non-AVR) (PYRIN-containing APAF1-like protein 5-like)",869,Other,,0,52.47,381,15,0.297,Low,27.158,5.754,Mus musculus,mouse,high,-1123.0,5.330385654630312,-1.329243852119904,-161.0,-335.0,-143.0,-84.0,Low
Q91YR7,Prpf6,Pre-mRNA-processing factor 6 (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein),941,Other,,0,68.23,529,16,0.369,Medium,30.074,6.589,Mus musculus,mouse,high,-829.0,10.670596904937362,-0.7835485605126169,-203.0,-143.0,-129.0,9.0,Low
Q91ZS8,Adarb1 Adar2 Red1,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),711,Other,,0,59.92,362,11,0.321,Medium,22.222,7.032,Mus musculus,mouse,high,-287.0,53.58634242200934,0.2224611267361913,-74.0,-167.0,41.0,37.0,Low
Q91VM5,Rbmxl1 Rbmxrt,"RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1) (RNA binding motif protein, X chromosome retrogene)",388,RRM-containing,RRM,1,91.24,340,1,0.477,Medium,29.897,9.021,Mus musculus,mouse,high,423.0,99.1795627609924,1.5402966949034491,72.0,41.0,92.0,155.0,High
Q91VR5,Ddx1,ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1),740,Helicase,Helicase,1,45.0,234,12,0.268,Low,25.27,7.973,Mus musculus,mouse,high,-383.0,41.69737165315647,0.0442749090685057,-135.0,-96.0,-12.0,-18.0,Low
Q91VU7,Pus7 Kiaa1897,Pseudouridylate synthase 7 homolog (EC 5.4.99.-),660,Other,,0,45.0,218,5,0.273,Low,28.333,7.424,Mus musculus,mouse,high,-504.0,30.061409972979614,-0.1803139694501396,-142.0,-168.0,41.0,-55.0,Low
Q91YT7,Ythdf2,YTH domain-containing family protein 2,579,Other,,0,76.17,412,6,0.378,Medium,17.271,8.29,Mus musculus,mouse,high,369.0,99.0665684107099,1.4400669474653762,27.0,34.0,102.0,140.0,High
Q8VH51,Rbm39 Caper Rnpc2,RNA-binding protein 39 (Coactivator of activating protein 1 and estrogen receptors) (Coactivator of AP-1 and ERs) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2),530,RRM-containing,RRM,1,65.66,289,7,0.356,Medium,29.434,6.226,Mus musculus,mouse,high,-316.0,49.78874969295014,0.1686340401490779,-138.0,-114.0,23.0,-2.0,Low
Q8VHK9,Dhx36 Ddx36 Kiaa1488 Mlel1,ATP-dependent DNA/RNA helicase DHX36 (EC 3.6.4.13) (DEAD/H box polypeptide 36) (DEAH box protein 36) (MLE-like protein 1) (RNA helicase associated with AU-rich element ARE),1001,Helicase,Helicase,1,47.05,401,12,0.278,Low,26.973,7.592,Mus musculus,mouse,high,-887.0,9.25816752640629,-0.8912027336868436,-176.0,-265.0,-4.0,-101.0,Low
Q91VN6,Ddx41,Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41),622,Helicase,Helicase,1,51.93,238,8,0.302,Medium,29.904,5.466,Mus musculus,mouse,high,-572.0,25.138786538933925,-0.3065292069647503,-156.0,-161.0,-41.0,-40.0,Low
Q920Q6,Msi2 Msi2h,RNA-binding protein Musashi homolog 2 (Musashi-2),346,RRM-containing,RRM,1,65.03,202,5,0.343,Medium,18.208,11.272,Mus musculus,mouse,high,166.0,97.8481945467944,1.0632773413555827,-25.0,54.0,50.0,80.0,High
Q91Z31,Ptbp2 Brptb Nptb,Polypyrimidine tract-binding protein 2 (Brain-enriched polypyrimidine tract-binding protein) (Brain-enriched PTB) (Neural polypyrimidine tract-binding protein) (RRM-type RNA-binding protein brPTB),531,RRM-containing,RRM,1,41.81,193,7,0.233,Low,17.702,6.403,Mus musculus,mouse,high,-374.0,42.785556374355195,0.0609798669748512,-99.0,-95.0,-14.0,32.0,Low
Q91YE5,Baz2a Kiaa0314 Tip5,Bromodomain adjacent to zinc finger domain protein 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5),1889,Other,,0,70.94,1189,22,0.37,Medium,25.04,5.717,Mus musculus,mouse,high,-483.0,31.616310488823387,-0.1413357343353334,-17.0,-503.0,135.0,108.0,Low
Q922K7,Nop2 Nol1,28S rRNA (cytosine-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120),793,Other,,0,72.38,523,5,0.384,Medium,29.382,4.792,Mus musculus,mouse,high,-188.0,67.41832473593712,0.406215663705992,-105.0,-128.0,25.0,86.0,Low
Q99MB1,Tlr3,Toll-like receptor 3 (CD antigen CD283),905,Other,,0,11.05,31,2,0.114,Low,18.011,9.613,Mus musculus,mouse,high,-1110.0,5.497420781134856,-1.305114468477405,-46.0,-389.0,-78.0,-124.0,Low
Q99KG3,Rbm10 Kiaa0122,RNA-binding protein 10 (RNA-binding motif protein 10),930,RRM-containing,RRM,1,82.8,739,6,0.424,Medium,27.419,7.204,Mus musculus,mouse,high,-29.0,90.8081552444117,0.7013365867180963,-75.0,-82.0,53.0,133.0,Low
Q99L90,Mcrs1 Msp58,Microspherule protein 1 (58 kDa microspherule protein),462,Other,,0,60.82,237,5,0.331,Medium,27.706,5.628,Mus musculus,mouse,high,-375.0,42.64799803488087,0.0591237605408128,-77.0,-133.0,-10.0,-3.0,Low
Q99J95,Cdk9,Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 9),372,Other,,0,34.68,107,5,0.228,Low,25.806,8.871,Mus musculus,mouse,high,-439.0,35.59322033898305,-0.0596670512376441,-68.0,-131.0,-36.0,-33.0,Low
Q99KS2,Ngrn Fi58g,Neugrin (FI58Gm) (Neurite outgrowth-associated protein) (m-Neugrin),293,Other,,0,78.5,216,3,0.405,Medium,28.669,5.461,Mus musculus,mouse,high,-149.0,73.28666175386883,0.4786038146334893,-41.0,-79.0,4.0,8.0,Low
Q99LX0,Park7,"Parkinson disease protein 7 homolog (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)",189,Other,,0,53.97,54,3,0.292,Low,23.81,3.175,Mus musculus,mouse,high,-91.0,82.72905919921396,0.5862579878077161,-45.0,-20.0,-10.0,11.0,Low
Q921F2,Tardbp Tdp43,TAR DNA-binding protein 43 (TDP-43),414,FUS/TDP/FET,RRM,1,57.49,212,5,0.308,Medium,19.807,8.696,Mus musculus,mouse,high,288.0,98.6735445836404,1.2897223263082664,-7.0,24.0,68.0,74.0,High
Q99020,Hnrnpab Cbf-a Cgbfa Hnrpab,Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (CArG-binding factor-A) (CBF-A),285,hnRNP,RRM,1,83.51,213,4,0.433,Medium,29.123,7.368,Mus musculus,mouse,high,190.0,98.0741832473594,1.107823895772504,-18.0,7.0,16.0,48.0,High
Q99J87,Dhx58 D11lgp2e Lgp2,ATP-dependent RNA helicase DHX58 (EC 3.6.4.13) (ATP-dependent helicase LGP2) (Protein D11Lgp2) (RIG-I-like receptor 3) (RLR-3) (RIG-I-like receptor Lgp2) (RLR),678,Helicase,Helicase,1,39.53,204,9,0.235,Low,23.009,6.342,Mus musculus,mouse,high,-790.0,11.938098747236552,-0.7111604095851196,-154.0,-198.0,-72.0,-58.0,Low
Q99MV5,Mov10l1 Champ,RNA helicase Mov10l1 (EC 3.6.4.13) (Cardiac helicase activated by MEF2 protein) (Cardiac-specific RNA helicase) (Moloney leukemia virus 10-like protein 1 homolog) (MOV10-like protein 1 homolog),1187,Other,,0,40.78,345,9,0.247,Low,24.6,7.161,Mus musculus,mouse,high,-1020.0,6.715794645050357,-1.1380648894139496,-255.0,-360.0,65.0,-104.0,Low
Q924C1,Xpo5 Kiaa1291 Ranbp21,Exportin-5 (Exp5) (Ran-binding protein 21),1204,Other,,0,26.25,215,10,0.185,Low,22.674,8.389,Mus musculus,mouse,high,-1691.0,1.832473593711619,-2.3835123066537105,-253.0,-405.0,-140.0,-150.0,Low
Q99JX7,Nxf1 Tap,Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP),618,RRM-containing,RRM,1,55.5,268,10,0.314,Medium,26.537,8.252,Mus musculus,mouse,high,-332.0,47.737656595431105,0.1389363372044637,-39.0,-136.0,6.0,-2.0,Low
Q99JY0,Hadhb,"Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]",475,Other,,0,53.89,171,7,0.288,Low,20.211,6.947,Mus musculus,mouse,high,-429.0,36.63964627855564,-0.0411059868972602,-132.0,-75.0,-36.0,8.0,Low
Q99K48,Nono,Non-POU domain-containing octamer-binding protein (NonO protein),473,RRM-containing,RRM,1,81.18,337,5,0.423,Medium,29.81,5.92,Mus musculus,mouse,high,-100.0,81.23311225743062,0.5695530299013706,1.0,-114.0,-9.0,21.0,Low
Q99MQ1,Bicc1,Protein bicaudal C homolog 1 (Bic-C),977,KH-containing,SAM|KH,2,65.71,568,15,0.332,Medium,19.857,4.504,Mus musculus,mouse,high,-409.0,38.690739376074674,-0.0039838582164924,-112.0,-192.0,29.0,74.0,Low
Q99MV2,Tex19.1 Tex19 Tex19a,Testis-expressed protein 19.1 (mTex19.1) (Testis-expressed protein 19A),351,Other,,0,20.51,67,2,0.164,Low,18.803,11.681,Mus musculus,mouse,high,-412.0,38.32473593711619,-0.0095521775186076,-37.0,-133.0,-24.0,-29.0,Low
Q99NB9,Sf3b1 Sap155,Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155),1304,Other,,0,49.31,560,15,0.285,Low,25.46,6.902,Mus musculus,mouse,high,-1371.0,3.2031441906165563,-1.7895582477614251,-277.0,-264.0,-109.0,-43.0,Low
Q99NH0,Ankrd17 Foe Gtar Kiaa0697,Ankyrin repeat domain-containing protein 17 (Ankyrin repeat domain-containing protein FOE) (Gene trap ankyrin repeat protein),2603,KH-containing,KH,1,74.34,1717,39,0.363,Medium,19.132,3.073,Mus musculus,mouse,high,-547.0,26.934414148857776,-0.2601265461137905,-241.0,-380.0,62.0,434.0,Low
Q99MU3,Adar,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (RNA adenosine deaminase 1),1178,Other,,0,68.34,704,18,0.361,Medium,24.278,7.555,Mus musculus,mouse,high,-609.0,22.47359371161877,-0.3752051450241707,-103.0,-245.0,-6.0,45.0,Low
Q9CPN8,Igf2bp3 Vickz3,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (mIMP-3) (IGF-II mRNA-binding protein 3) (VICKZ family member 3),579,IGF2BP,KH|RRM,2,64.77,365,12,0.339,Medium,23.661,4.836,Mus musculus,mouse,high,-409.0,38.690739376074674,-0.0039838582164924,-104.0,-147.0,6.0,-5.0,Low
Q9CR57,Rpl14,Large ribosomal subunit protein eL14 (60S ribosomal protein L14),217,Other,,0,71.43,142,2,0.382,Medium,30.415,5.991,Mus musculus,mouse,high,-121.0,77.73520019651193,0.5305747947865643,-83.0,11.0,-23.0,34.0,Low
Q9CWZ3,Rbm8a Rbm8,RNA-binding protein 8A (RNA-binding motif protein 8A) (Ribonucleoprotein RBM8A),174,RRM-containing,RRM,1,70.69,118,4,0.405,Medium,39.08,7.471,Mus musculus,mouse,high,-22.0,91.45418816015722,0.714329331756365,-31.0,-19.0,9.0,15.0,Low
Q9CXY6,Ilf2 Nf45,Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa),390,Other,,0,41.54,130,5,0.249,Low,23.846,6.41,Mus musculus,mouse,high,-282.0,54.367477278310005,0.2317416589063832,-43.0,-122.0,-13.0,-5.0,Low
Q99PV0,Prpf8 Prp8,Pre-mRNA-processing-splicing factor 8 (Splicing factor Prp8),2335,Other,,0,31.31,472,21,0.217,Low,24.368,11.435,Mus musculus,mouse,high,-2704.0,0.5895357406042742,-4.263748124334601,-453.0,-663.0,-70.0,-251.0,Low
Q9CPR4,Rpl17,Large ribosomal subunit protein uL22 (60S ribosomal protein L17),184,Other,,0,64.67,102,5,0.357,Medium,31.522,5.978,Mus musculus,mouse,high,-96.0,81.94301154507492,0.5769774556375241,-13.0,-41.0,-7.0,-18.0,Low
Q9CWU5,Khdc3,KH domain-containing protein 3 (Protein Filia),440,KH-containing,KH,1,70.68,291,1,0.362,Medium,24.318,3.864,Mus musculus,mouse,high,-396.0,40.17194792434291,0.0201455254260066,-168.0,-52.0,-39.0,32.0,Low
Q9CQF3,Nudt21 Cpsf5,Cleavage and polyadenylation specificity factor subunit 5 (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21),227,Other,,0,32.16,60,3,0.22,Low,22.467,11.454,Mus musculus,mouse,high,-221.0,62.699582412183744,0.3449641513827252,-19.0,-87.0,-4.0,-18.0,Low
Q9CWV6,Prkrip1,PRKR-interacting protein 1 (Protein C114),186,Other,,0,98.39,183,2,0.509,Medium,39.785,3.763,Mus musculus,mouse,high,-50.0,88.3861459100958,0.6623583516032902,-20.0,-30.0,-5.0,-3.0,Low
Q9CQB2,Mcrip2 Fam195a,MAPK regulated corepressor interacting protein 2 (Protein FAM195A),160,Other,,0,75.62,115,3,0.381,Medium,20.0,6.875,Mus musculus,mouse,high,-54.0,87.88995332842055,0.6549339258671365,-17.0,-36.0,9.0,13.0,Low
Q9CQG2,Mettl16 Mett10d,RNA N(6)-adenosine-methyltransferase METTL16 (EC 2.1.1.348) (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase) (EC 2.1.1.346),553,Other,,0,41.95,204,5,0.26,Low,28.21,6.51,Mus musculus,mouse,high,-477.0,32.11004667157947,-0.130199095731103,-112.0,-148.0,-35.0,-34.0,Low
Q9CSH3,Dis3 Kiaa1008 Rrp44,Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44),958,Other,,0,48.43,352,13,0.282,Low,27.453,6.472,Mus musculus,mouse,high,-1195.0,4.603291574551708,-1.462883515370668,-262.0,-268.0,-51.0,-111.0,Low
Q9CWE6,Ooep Oep19 Sddr,Oocyte-expressed protein homolog (Factor located in oocytes permitting embryonic development) (Floped) (Oocyte- and embryo-specific protein 19) (mOEP19) (STAT3 downstream gene and differentiation regulator),164,KH-containing,KH,1,50.61,70,3,0.282,Low,24.39,6.098,Mus musculus,mouse,high,-205.0,64.97666421026776,0.3746618543273394,-43.0,-51.0,-24.0,-11.0,Low
Q9CWY8,Rnaseh2a Rnasehi,Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A),301,Other,,0,55.15,127,5,0.31,Medium,24.917,8.97,Mus musculus,mouse,high,-222.0,62.54482928027512,0.3431080449486867,-53.0,-35.0,-6.0,7.0,Low
Q9CX86,Hnrnpa0 Hnrpa0,Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0),305,hnRNP,RRM,1,82.95,246,3,0.416,Medium,19.344,9.836,Mus musculus,mouse,high,394.0,99.12552198477032,1.486469608316336,-16.0,91.0,11.0,114.0,High
Q9CXW4,Rpl11,Large ribosomal subunit protein uL5 (60S ribosomal protein L11),178,Other,,0,56.18,76,4,0.327,Medium,30.899,8.427,Mus musculus,mouse,high,-120.0,77.9120609186932,0.5324309012206027,-50.0,-52.0,-4.0,-8.0,Low
Q9CQ49,Ncbp2 Cbp20,Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20),156,RRM-containing,RRM,1,55.13,64,2,0.336,Medium,33.974,12.179,Mus musculus,mouse,high,-53.0,88.01277327437977,0.6567900323011749,-25.0,-12.0,-11.0,-2.0,Low
Q9CX34,Sugt1,Protein SGT1 homolog (Suppressor of G2 allele of SKP1 homolog),336,Other,,0,67.86,195,7,0.368,Medium,29.464,8.333,Mus musculus,mouse,high,-207.0,64.67943994104643,0.3709496414592626,-57.0,-56.0,-5.0,-10.0,Low
Q99PU8,Dhx30 Helg,ATP-dependent RNA helicase DHX30 (EC 3.6.4.13) (DEAH box protein 30),1217,Helicase,Helicase,1,49.71,459,17,0.283,Low,24.979,6.081,Mus musculus,mouse,high,-1291.0,3.8172439204126754,-1.6410697330383537,-231.0,-408.0,-104.0,-60.0,Low
Q99P30,Nudt7,Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 7) (Nudix motif 7),236,Other,,0,28.39,58,2,0.204,Low,24.153,10.169,Mus musculus,mouse,high,-242.0,59.76664210267748,0.3059859162679189,-46.0,-71.0,5.0,-22.0,Low
Q9CZX0,Elp3,Elongator complex protein 3 (EC 2.3.1.311) (tRNA uridine(34) acetyltransferase),547,Other,SAM,1,37.48,125,5,0.241,Low,25.96,8.775,Mus musculus,mouse,high,-641.0,20.23581429624171,-0.4346005509133993,-162.0,-148.0,-13.0,-61.0,Low
Q9DAN6,Gtsf1 Cue110 Fam112b,Gametocyte-specific factor 1 (Protein FAM112B),167,Other,,0,47.9,58,4,0.273,Low,22.754,7.784,Mus musculus,mouse,high,-78.0,84.7482191107836,0.6103873714502152,-24.0,-19.0,11.0,-1.0,Low
