accession	species	length	disorder_content	n_disordered_residues	n_disordered_regions	longest_idr	idr_source
Q3TQP0	Mus_musculus	103	0.718	74	1	74	prediction-disorder-mobidb_lite
Q3UTA9	Mus_musculus	244	0.234	57	1	57	prediction-disorder-mobidb_lite
Q3V3W4	Mus_musculus	514	0.136	70	2	39	prediction-disorder-mobidb_lite
P0C090	Mus_musculus	1187	0.07	83	2	45	prediction-disorder-mobidb_lite
Q3UV17	Mus_musculus	594	0.165	98	1	98	prediction-disorder-mobidb_lite
Q3THG9	Mus_musculus	412	0.126	52	8	11	prediction-disorder-th_50
Q5DTZ0	Mus_musculus	1840	0.13	240	6	79	prediction-disorder-mobidb_lite
Q5DU09	Mus_musculus	608	0.283	172	1	172	prediction-disorder-mobidb_lite
A0A087WSF2	Mus_musculus	504	0.121	61	2	33	prediction-disorder-mobidb_lite
C0HKC8	Mus_musculus	504	0.121	61	2	33	prediction-disorder-mobidb_lite
Q8CHP0	Mus_musculus	950	0.511	485	5	176	prediction-disorder-mobidb_lite
O70325	Mus_musculus	197	0.03	6	2	4	prediction-disorder-th_50
P68254	Mus_musculus	245	0.061	15	3	11	prediction-disorder-th_50
P46638	Mus_musculus	218	0.161	35	1	35	prediction-disorder-mobidb_lite
A0A0N4SUH6	Mus_musculus	174	0.534	93	2	69	prediction-disorder-mobidb_lite
W4VSN7	Mus_musculus	160	0.512	82	2	47	prediction-disorder-mobidb_lite
Q923D4	Mus_musculus	86	0.244	21	3	15	prediction-disorder-th_50
Q9D1J3	Mus_musculus	210	0.438	92	2	49	prediction-disorder-mobidb_lite
Q8C7X2	Mus_musculus	997	0.027	27	10	7	prediction-disorder-th_50
Q6IS61	Mus_musculus	389	0.098	38	1	38	prediction-disorder-mobidb_lite
Q99JR8	Mus_musculus	531	0.166	88	2	66	prediction-disorder-mobidb_lite
Q9D024	Mus_musculus	483	0.277	134	2	74	prediction-disorder-mobidb_lite
E9PZM4	Mus_musculus	1827	0.398	728	5	264	prediction-disorder-mobidb_lite
Q8K3W3	Mus_musculus	698	0.862	602	5	229	prediction-disorder-mobidb_lite
Q8BGJ9	Mus_musculus	220	0.159	35	1	35	prediction-disorder-mobidb_lite
Q6PFE3	Mus_musculus	886	0.107	95	1	95	prediction-disorder-mobidb_lite
P63242	Mus_musculus	154	0.104	16	2	13	prediction-disorder-th_50
Q8BFU2	Mus_musculus	130	0.169	22	1	22	prediction-disorder-mobidb_lite
Q9DCE9	Mus_musculus	423	0.057	24	6	7	prediction-disorder-th_50
Q61635	Mus_musculus	420	0.007	3	2	2	prediction-disorder-th_50
Q3T9E4	Mus_musculus	415	0.075	31	5	11	prediction-disorder-th_50
Q62293	Mus_musculus	415	0.075	31	5	11	prediction-disorder-th_50
Q8BX20	Mus_musculus	144	0.16	23	1	23	prediction-disorder-mobidb_lite
Q3UT53	Mus_musculus	144	0.153	22	1	22	prediction-disorder-mobidb_lite
Q3UTA4	Mus_musculus	144	0.16	23	1	23	prediction-disorder-mobidb_lite
P0CB42	Mus_musculus	389	0.064	25	3	20	prediction-disorder-th_50
Q7TMV3	Mus_musculus	762	0.052	40	7	16	prediction-disorder-th_50
E9Q5E2	Mus_musculus	1589	0.256	406	1	406	prediction-disorder-mobidb_lite
Q8C1Y6	Mus_musculus	502	0.058	29	8	6	prediction-disorder-th_50
C0HKC9	Mus_musculus	504	0.121	61	2	33	prediction-disorder-mobidb_lite
Q3TYA6	Mus_musculus	858	0.318	273	5	111	prediction-disorder-mobidb_lite
A2AK42	Mus_musculus	830	0.407	338	3	172	prediction-disorder-mobidb_lite
Q1PSW8	Mus_musculus	855	0.087	74	2	51	prediction-disorder-mobidb_lite
Q9R0M6	Mus_musculus	201	0.109	22	1	22	curated-disorder-merge
P59999	Mus_musculus	168	0.024	4	1	4	prediction-disorder-th_50
A2AJ77	Mus_musculus	365	0.058	21	1	21	prediction-disorder-mobidb_lite
Q6EJB6	Mus_musculus	756	0.155	117	3	50	prediction-disorder-mobidb_lite
P51150	Mus_musculus	207	0.077	16	3	6	prediction-disorder-th_50
Q3TQ67	Mus_musculus	242	0.041	10	2	9	prediction-disorder-th_50
P62892	Mus_musculus	51	0.902	46	4	22	prediction-disorder-th_50
P83940	Mus_musculus	112	0.116	13	1	13	prediction-disorder-th_50
Q61820	Mus_musculus	216	0.074	16	2	10	prediction-disorder-th_50
Q8K0G8	Mus_musculus	717	0.032	23	1	23	prediction-disorder-mobidb_lite
A0A087WNP0	Mus_musculus	241	0.523	126	2	83	prediction-disorder-mobidb_lite
Q587J6	Mus_musculus	782	0.257	201	3	111	prediction-disorder-mobidb_lite
Q9R164	Mus_musculus	701	0.146	102	3	52	prediction-disorder-mobidb_lite
Q8R4X3	Mus_musculus	992	0.098	97	2	65	prediction-disorder-mobidb_lite
E9Q4R4	Mus_musculus	555	0.016	9	4	5	prediction-disorder-th_50
A0A1B0GS68	Mus_musculus	446	0.029	13	7	6	prediction-disorder-th_50
Q923L6	Mus_musculus	156	0.038	6	2	3	prediction-disorder-th_50
Q80VV3	Mus_musculus	101	0.277	28	1	28	prediction-disorder-mobidb_lite
D0QMC3	Mus_musculus	538	0.348	187	1	187	prediction-disorder-mobidb_lite
E9Q368	Mus_musculus	1579	0.04	63	11	21	prediction-disorder-th_50
B2RY53	Mus_musculus	190	0.147	28	1	28	prediction-disorder-mobidb_lite
P62305	Mus_musculus	92	0.141	13	2	8	prediction-disorder-th_50
A7KBS4	Mus_musculus	506	0.053	27	1	27	prediction-disorder-mobidb_lite
Q60605	Mus_musculus	151	0.053	8	2	6	prediction-disorder-th_50
M0QWS9	Mus_musculus	265	0.502	133	2	107	prediction-disorder-mobidb_lite
P62301	Mus_musculus	151	0.166	25	2	15	prediction-disorder-th_50
P17879	Mus_musculus	642	0.04	26	1	26	prediction-disorder-mobidb_lite
G5E8X2	Mus_musculus	370	0.022	8	2	5	prediction-disorder-th_50
G3UWE2	Mus_musculus	416	0.058	24	2	15	prediction-disorder-th_50
B2RY52	Mus_musculus	291	0.485	141	2	109	prediction-disorder-mobidb_lite
E9Q0Q3	Mus_musculus	834	0.109	91	25	19	prediction-disorder-th_50
Q8K003	Mus_musculus	64	1	64	1	64	prediction-disorder-mobidb_lite
P62322	Mus_musculus	91	0.198	18	2	10	prediction-disorder-th_50
E9PW74	Mus_musculus	217	0.041	9	3	4	prediction-disorder-th_50
M0QWR4	Mus_musculus	261	0.429	112	2	86	prediction-disorder-mobidb_lite
B2RWR6	Mus_musculus	380	0.592	225	2	145	prediction-disorder-mobidb_lite
Q7TN75	Mus_musculus	958	0.29	278	6	79	prediction-disorder-mobidb_lite
B2RXM2	Mus_musculus	351	0.205	72	2	50	prediction-disorder-mobidb_lite
A0A0G2JGH6	Mus_musculus	1343	0.079	106	4	31	prediction-disorder-mobidb_lite
D3Z5F7	Mus_musculus	333	0.147	49	6	16	prediction-disorder-th_50
G3UZF1	Mus_musculus	386	0.231	89	12	25	prediction-disorder-th_50
G3UY09	Mus_musculus	685	0.117	80	16	18	prediction-disorder-th_50
Q61858	Mus_musculus	372	0.293	109	4	37	prediction-disorder-mobidb_lite
Q9DBB5	Mus_musculus	207	0.116	24	1	24	prediction-disorder-mobidb_lite
P62947	Mus_musculus	25	1	25	1	25	prediction-disorder-mobidb_lite
Q76I26	Mus_musculus	264	0.034	9	4	4	prediction-disorder-th_50
J3QNT6	Mus_musculus	144	0.16	23	1	23	prediction-disorder-mobidb_lite
O35698	Mus_musculus	380	0.592	225	2	145	prediction-disorder-mobidb_lite
K9J7E2	Mus_musculus	286	0.531	152	2	126	prediction-disorder-mobidb_lite
O35295	Mus_musculus	324	0.231	75	2	47	prediction-disorder-mobidb_lite
J3QK27	Mus_musculus	380	0.589	224	2	145	prediction-disorder-mobidb_lite
Q3UTA8	Mus_musculus	301	0.083	25	2	20	prediction-disorder-th_50
C0HKG6	Mus_musculus	259	0.069	18	3	9	prediction-disorder-th_50
Q8K3J5	Mus_musculus	619	0.074	46	1	46	prediction-disorder-mobidb_lite
Q8C7Q4	Mus_musculus	361	0.055	20	6	7	prediction-disorder-th_50
E9PV04	Mus_musculus	411	0.056	23	6	14	prediction-disorder-th_50
Q9D3U4	Mus_musculus	565	0.103	58	8	17	prediction-disorder-th_50
Q7TPL6	Mus_musculus	888	0.015	13	4	5	prediction-disorder-th_50
Q9WV70	Mus_musculus	747	0.253	189	3	79	prediction-disorder-mobidb_lite
Q3UT86	Mus_musculus	313	0.073	23	4	15	prediction-disorder-th_50
C0HKG5	Mus_musculus	259	0.069	18	3	9	prediction-disorder-th_50
Q3UJQ5	Mus_musculus	144	0.16	23	1	23	prediction-disorder-mobidb_lite
F6YNI8	Mus_musculus	144	0.34	49	2	29	prediction-disorder-mobidb_lite
J3QMW5	Mus_musculus	144	0.153	22	1	22	prediction-disorder-mobidb_lite
D3Z4S3	Mus_musculus	140	0.05	7	1	7	prediction-disorder-th_50
P10922	Mus_musculus	194	0.706	137	2	109	prediction-disorder-mobidb_lite
J3QK59	Mus_musculus	301	0.083	25	2	20	prediction-disorder-th_50
F7BGR7	Mus_musculus	477	0.044	21	7	7	prediction-disorder-th_50
Q60990	Mus_musculus	380	0.592	225	2	145	prediction-disorder-mobidb_lite
F6R7E8	Mus_musculus	247	0.012	3	1	3	prediction-disorder-th_50
J3QP87	Mus_musculus	144	0.16	23	1	23	prediction-disorder-mobidb_lite
A2AK44	Mus_musculus	830	0.407	338	3	172	prediction-disorder-mobidb_lite
E9PZY4	Mus_musculus	286	0.476	136	2	104	prediction-disorder-mobidb_lite
J3QPI8	Mus_musculus	144	0.153	22	1	22	prediction-disorder-mobidb_lite
A0AAG1GPI2	Mus_musculus						
A2A4P3	Mus_musculus	525	0.149	78	12	12	prediction-disorder-th_50
S4R1M6	Mus_musculus	97	0.423	41	4	14	prediction-disorder-th_50
Q14B01	Mus_musculus	337	0.279	94	1	94	prediction-disorder-mobidb_lite
Q3SXC5	Mus_musculus	192	0.073	14	2	11	prediction-disorder-th_50
Q8BP67	Mus_musculus	157	0.331	52	1	52	prediction-disorder-mobidb_lite
A0A087WSA6	Mus_musculus	508	0.144	73	3	26	prediction-disorder-mobidb_lite
A0A3B2WD63	Mus_musculus	508	0.146	74	3	27	prediction-disorder-mobidb_lite
A0A087WRH8	Mus_musculus	301	0.083	25	2	20	prediction-disorder-th_50
A0A087WPY7	Mus_musculus	166	0.524	87	1	87	prediction-disorder-mobidb_lite
A0A087WR82	Mus_musculus	380	0.616	234	2	154	prediction-disorder-mobidb_lite
P63163	Mus_musculus	240	0.325	78	1	78	prediction-disorder-mobidb_lite
Q6NZF1	Mus_musculus	792	0.58	459	6	109	prediction-disorder-mobidb_lite
A0A0A6YW33	Mus_musculus	106	0.255	27	1	27	prediction-disorder-mobidb_lite
Q9CQP0	Mus_musculus	65	0.108	7	2	4	prediction-disorder-th_50
A0A087WP63	Mus_musculus	3095	0.411	1271	17	208	prediction-disorder-mobidb_lite
A0A0N4SVP8	Mus_musculus	411	0.044	18	5	10	prediction-disorder-th_50
F6YXU0	Mus_musculus	125	0.336	42	1	42	prediction-disorder-mobidb_lite
A0A140LJ87	Mus_musculus	301	0.083	25	2	20	prediction-disorder-th_50
Q9JIF0	Mus_musculus	371	0.089	33	4	18	prediction-disorder-th_50
J3KMT3	Mus_musculus	313	0.073	23	4	15	prediction-disorder-th_50
Q8BTW3	Mus_musculus	273	0.132	36	1	36	prediction-disorder-mobidb_lite
A0A1B0GRH6	Mus_musculus	506	0.113	57	2	33	prediction-disorder-mobidb_lite
A0A1C7CYU6	Mus_musculus	506	0.109	55	2	31	prediction-disorder-mobidb_lite
A0A1W2P7Z8	Mus_musculus	802	0.148	119	3	53	prediction-disorder-mobidb_lite
A0A1W2P7S8	Mus_musculus	802	0.147	118	3	53	prediction-disorder-mobidb_lite
A0A1W2P6Q8	Mus_musculus	802	0.147	118	3	52	prediction-disorder-mobidb_lite
A0A1W2P809	Mus_musculus	89	0.079	7	2	4	prediction-disorder-th_50
A0A1W2P7H4	Mus_musculus	802	0.148	119	3	53	prediction-disorder-mobidb_lite
A0A1W2P855	Mus_musculus	802	0.147	118	3	52	prediction-disorder-mobidb_lite
A0A1Y7VJE9	Mus_musculus	144	0.354	51	2	28	prediction-disorder-mobidb_lite
A0A1Y7VK80	Mus_musculus	144	0.361	52	2	29	prediction-disorder-mobidb_lite
A0A1Y7VNG9	Mus_musculus	144	0.361	52	2	30	prediction-disorder-mobidb_lite
P0DPE0	Mus_musculus	255	0.082	21	4	15	prediction-disorder-th_50
Q9CQS5	Mus_musculus	547	0.139	76	2	42	prediction-disorder-mobidb_lite
A0A338P6R8	Mus_musculus	365	0.121	44	5	23	prediction-disorder-th_50
A0A338P7H3	Mus_musculus	117	0.154	18	2	15	prediction-disorder-th_50
A0A3B2W7J0	Mus_musculus	241	0.432	104	2	83	prediction-disorder-mobidb_lite
A0A3B2W864	Mus_musculus	287	0.178	51	1	51	prediction-disorder-mobidb_lite
Q800H4	Danio_rerio	928	0.414	384	4	281	prediction-disorder-mobidb_lite
F1QNX7	Danio_rerio	467	0.645	301	2	271	prediction-disorder-mobidb_lite
Q7ZUF8	Danio_rerio	182	0.341	62	2	40	prediction-disorder-mobidb_lite
F1Q639	Danio_rerio	777	0.125	97	3	40	prediction-disorder-mobidb_lite
A0A8M2B5Y0	Danio_rerio	596	0.148	88	4	25	prediction-disorder-mobidb_lite
Q7T3F8	Danio_rerio	422	0.223	94	2	70	prediction-disorder-mobidb_lite
Q6TV19	Danio_rerio	1865	0.101	188	5	70	prediction-disorder-mobidb_lite
Q6IQE0	Danio_rerio	516	0.083	43	1	43	prediction-disorder-mobidb_lite
E7F1X7	Danio_rerio	929	0.843	783	1	783	prediction-disorder-mobidb_lite
Q2I6J0	Danio_rerio	1226	0.09	110	3	51	prediction-disorder-mobidb_lite
F1QFC4	Danio_rerio	752	0.32	241	2	149	prediction-disorder-mobidb_lite
A0A8M2BL85	Danio_rerio	1085	0.752	816	5	355	prediction-disorder-mobidb_lite
Q6P104	Danio_rerio	319	0.245	78	9	17	prediction-disorder-th_50
Q5RGJ5	Danio_rerio	544	0.186	101	2	77	prediction-disorder-mobidb_lite
Q6P0B1	Danio_rerio	514	0.179	92	12	19	prediction-disorder-th_50
A0A8M2BEY8	Danio_rerio	173	0.451	78	1	78	prediction-disorder-mobidb_lite
Q7ZUX5	Danio_rerio	363	0.039	14	2	8	prediction-disorder-th_50
Q502B0	Danio_rerio	135	0.222	30	5	11	prediction-disorder-th_50
Q803X4	Danio_rerio	445	0.054	24	1	24	prediction-disorder-mobidb_lite
A0A8M1RJI1	Danio_rerio	452	0.058	26	4	13	prediction-disorder-th_50
Q5XJ83	Danio_rerio	249	0.129	32	8	9	prediction-disorder-th_50
Q6P5M9	Danio_rerio	445	0.047	21	1	21	prediction-disorder-mobidb_lite
Q7ZVV1	Danio_rerio	782	0.101	79	2	47	prediction-disorder-mobidb_lite
A2BGR3	Danio_rerio	1451	0.255	370	7	162	prediction-disorder-mobidb_lite
Q6DRN3	Danio_rerio	800	0.179	143	3	91	prediction-disorder-mobidb_lite
Q1LUA8	Danio_rerio	446	0.065	29	6	9	prediction-disorder-th_50
A0AB32TZX4	Danio_rerio						
F1R6L6	Danio_rerio	705	0.521	367	2	286	prediction-disorder-mobidb_lite
Q7ZW33	Danio_rerio	517	0.043	22	4	9	prediction-disorder-th_50
Q7ZVY1	Danio_rerio	619	0.153	95	2	55	prediction-disorder-mobidb_lite
A0A8M3BE00	Danio_rerio	550	0.044	24	1	24	prediction-disorder-mobidb_lite
Q7ZU67	Danio_rerio	406	0.054	22	1	22	prediction-disorder-mobidb_lite
Q7T3C6	Danio_rerio	228	0.07	16	1	16	prediction-disorder-th_50
Q6DHJ7	Danio_rerio	402	0.127	51	5	23	prediction-disorder-th_50
B0V0U5	Danio_rerio	1495	0.035	53	6	16	prediction-disorder-th_50
Q7ZVW8	Danio_rerio	393	0.674	265	1	265	prediction-disorder-mobidb_lite
A0A0B4J1B0	Danio_rerio	607	0.054	33	1	33	prediction-disorder-mobidb_lite
Q7SXN2	Danio_rerio	296	0.28	83	3	31	prediction-disorder-mobidb_lite
Q6NYD4	Danio_rerio	303	0.38	115	1	115	prediction-disorder-mobidb_lite
E9QJK5	Danio_rerio	699	0.11	77	1	77	prediction-disorder-mobidb_lite
Q6Q418	Danio_rerio	403	0.089	36	3	15	prediction-disorder-th_50
Q7ZWA9	Danio_rerio	429	0.275	118	2	66	prediction-disorder-mobidb_lite
E9QI36	Danio_rerio	513	0.066	34	5	16	prediction-disorder-th_50
Q6DEF6	Danio_rerio	276	0.21	58	1	58	prediction-disorder-mobidb_lite
Q05AN2	Danio_rerio	208	0.115	24	5	11	prediction-disorder-th_50
Q6NY74	Danio_rerio	601	0.11	66	1	66	prediction-disorder-mobidb_lite
Q7SX91	Danio_rerio	346	0.335	116	1	116	prediction-disorder-mobidb_lite
Q7ZVB0	Danio_rerio	531	0.1	53	1	53	prediction-disorder-mobidb_lite
A3KP60	Danio_rerio	471	0.042	20	1	20	prediction-disorder-mobidb_lite
Q503R5	Danio_rerio	237	0.194	46	5	19	prediction-disorder-th_50
A1A5H6	Danio_rerio	2374	0.022	52	1	52	prediction-disorder-mobidb_lite
Q803L0	Danio_rerio	202	0.47	95	3	33	prediction-disorder-mobidb_lite
Q1LWQ2	Danio_rerio	346	0.52	180	2	159	prediction-disorder-mobidb_lite
A0A8M9PSZ1	Danio_rerio	396	0.146	58	2	29	prediction-disorder-mobidb_lite
A0A8M9Q8J7	Danio_rerio	532	0.135	72	2	38	prediction-disorder-mobidb_lite
F1QH89	Danio_rerio	708	0.319	226	4	91	prediction-disorder-mobidb_lite
A0A8M1N878	Danio_rerio						
Q6DGP2	Danio_rerio	238	0.105	25	1	25	prediction-disorder-mobidb_lite
Q1ECZ7	Danio_rerio	795	0.395	314	2	184	prediction-disorder-mobidb_lite
B5DE31	Danio_rerio	310	0.774	240	2	209	prediction-disorder-mobidb_lite
A3KPR1	Danio_rerio	896	0.049	44	7	10	prediction-disorder-th_50
Q6DRP5	Danio_rerio	487	0.094	46	1	46	prediction-disorder-mobidb_lite
Q6TLH9	Danio_rerio	198	0.475	94	5	42	prediction-disorder-th_50
A0A8M1PM05	Danio_rerio						
F1QJ20	Danio_rerio	306	0.105	32	6	17	prediction-disorder-th_50
Q66HY7	Danio_rerio	224	0.103	23	1	23	prediction-disorder-mobidb_lite
Q7ZUH0	Danio_rerio	216	0.245	53	1	53	prediction-disorder-mobidb_lite
Q9IBD0	Danio_rerio	501	0.1	50	1	50	prediction-disorder-mobidb_lite
Q6PHD4	Danio_rerio	485	0.528	256	2	203	prediction-disorder-mobidb_lite
F1QBE2	Danio_rerio	317	0.003	1	1	1	prediction-disorder-th_50
F1RDC5	Danio_rerio	1087	0.018	20	4	13	prediction-disorder-th_50
F1QFJ8	Danio_rerio	407	0.059	24	1	24	prediction-disorder-mobidb_lite
A0JMI9	Danio_rerio	762	0.029	22	4	11	prediction-disorder-th_50
A0AB32TVP4	Danio_rerio						
Q503B6	Danio_rerio	189	0.063	12	3	8	prediction-disorder-th_50
Q8JGR1	Danio_rerio	487	0.131	64	1	64	prediction-disorder-mobidb_lite
Q6NWI8	Danio_rerio	279	0.029	8	2	7	prediction-disorder-th_50
Q6IQU6	Danio_rerio	330	0.191	63	2	32	prediction-disorder-mobidb_lite
Q3KRG3	Danio_rerio	181	0.354	64	1	64	prediction-disorder-mobidb_lite
Q6PBB2	Danio_rerio	688	0.118	81	2	46	prediction-disorder-mobidb_lite
A0A286YBP4	Danio_rerio	151	0.126	19	3	13	prediction-disorder-th_50
Q7ZWD3	Danio_rerio	315	0.076	24	1	24	prediction-disorder-mobidb_lite
Q6DG11	Danio_rerio	777	0.26	202	4	102	prediction-disorder-mobidb_lite
F1Q5L3	Danio_rerio	958	0.416	399	6	194	prediction-disorder-mobidb_lite
F1RBY1	Danio_rerio	837	0.294	246	5	99	prediction-disorder-mobidb_lite
Q6PBT9	Danio_rerio	492	0.165	81	2	48	prediction-disorder-mobidb_lite
A0AB32U379	Danio_rerio						
Q6DRP2	Danio_rerio	561	0.201	113	3	47	prediction-disorder-mobidb_lite
A2AWA1	Danio_rerio	427	0.07	30	1	30	prediction-disorder-mobidb_lite
F1Q8J8	Danio_rerio	634	0.046	29	1	29	prediction-disorder-mobidb_lite
Q6Q416	Danio_rerio	155	0.31	48	1	48	prediction-disorder-mobidb_lite
Q5XJQ5	Danio_rerio	393	0.142	56	6	26	prediction-disorder-th_50
A8DZA0	Danio_rerio	830	0.546	453	4	219	prediction-disorder-mobidb_lite
Q6DGL9	Danio_rerio	70	0.2	14	2	10	prediction-disorder-th_50
Q501W9	Danio_rerio	413	0.08	33	5	11	prediction-disorder-th_50
Q8UVK2	Danio_rerio	1726	0.216	373	4	196	prediction-disorder-mobidb_lite
Q4V9D8	Danio_rerio	196	0.122	24	1	24	prediction-disorder-mobidb_lite
Q5RIX6	Danio_rerio	307	0.033	10	2	6	prediction-disorder-th_50
A0A8M9PUV2	Danio_rerio	470	0.406	191	4	86	prediction-disorder-mobidb_lite
Q1JPY8	Danio_rerio	512	0.23	118	2	62	prediction-disorder-mobidb_lite
Q6TH20	Danio_rerio	364	0.016	6	3	3	prediction-disorder-th_50
F1QH05	Danio_rerio	518	0.766	397	3	290	prediction-disorder-mobidb_lite
Q7ZUG1	Danio_rerio	165	0.109	18	4	7	prediction-disorder-th_50
Q7ZT42	Danio_rerio	897	0.107	96	13	18	prediction-disorder-th_50
Q6DHT2	Danio_rerio	463	0.117	54	6	17	prediction-disorder-th_50
Q6P607	Danio_rerio	294	0.041	12	3	8	prediction-disorder-th_50
A0A8M1PZD8	Danio_rerio	840	0.06	50	10	19	prediction-disorder-th_50
Q6NZW8	Danio_rerio	186	0.038	7	1	7	prediction-disorder-th_50
Q7SZC2	Danio_rerio	971	0.008	8	2	7	prediction-disorder-th_50
E7F293	Danio_rerio	442	0.152	67	10	19	prediction-disorder-th_50
F6PB84	Danio_rerio	420	0.364	153	2	116	prediction-disorder-mobidb_lite
A0A286YAE5	Danio_rerio	772	0.228	176	3	121	prediction-disorder-mobidb_lite
Q566S7	Danio_rerio	242	0.165	40	9	13	prediction-disorder-th_50
Q568C9	Danio_rerio	242	0.12	29	1	29	prediction-disorder-mobidb_lite
F1Q4L8	Danio_rerio	908	0.369	335	6	91	prediction-disorder-mobidb_lite
Q498Z7	Danio_rerio	639	0.083	53	1	53	prediction-disorder-mobidb_lite
Q802Y8	Danio_rerio	671	0.119	80	2	42	prediction-disorder-mobidb_lite
Q7ZUG4	Danio_rerio	216	0.148	32	1	32	prediction-disorder-mobidb_lite
Q6PBR7	Danio_rerio	103	0.058	6	1	6	prediction-disorder-th_50
Q6PEI6	Danio_rerio	782	0.059	46	4	36	prediction-disorder-th_50
Q6Q417	Danio_rerio	246	0.11	27	4	14	prediction-disorder-th_50
Q5U3V3	Danio_rerio	366	0.123	45	5	17	prediction-disorder-th_50
Q58EK5	Danio_rerio	1175	0.094	110	4	32	prediction-disorder-mobidb_lite
Q7ZUI6	Danio_rerio	256	0.242	62	1	62	prediction-disorder-mobidb_lite
Q9DFG8	Danio_rerio	414	0.092	38	1	38	prediction-disorder-mobidb_lite
Q7SYD1	Danio_rerio	798	0.288	230	5	125	prediction-disorder-mobidb_lite
F1QDL2	Danio_rerio	260	0.323	84	1	84	prediction-disorder-mobidb_lite
Q6DGP6	Danio_rerio	124	0.476	59	1	59	prediction-disorder-mobidb_lite
B8JKF4	Danio_rerio	368	0.079	29	4	11	prediction-disorder-th_50
E7FCX4	Danio_rerio	836	0.274	229	2	144	prediction-disorder-mobidb_lite
A0A8M2BHB0	Danio_rerio	296	0.743	220	2	134	prediction-disorder-mobidb_lite
Q66HW2	Danio_rerio	532	0.079	42	10	16	prediction-disorder-th_50
Q803R7	Danio_rerio	753	0.118	89	1	89	prediction-disorder-mobidb_lite
A0A8N7UZX0	Danio_rerio	1271	0.022	28	4	12	prediction-disorder-th_50
A0A8M2BHF1	Danio_rerio	331	0.199	66	1	66	prediction-disorder-mobidb_lite
A0A8M2B680	Danio_rerio	409	0.469	192	16	73	prediction-disorder-th_50
B3DJT0	Danio_rerio	951	0.223	212	3	120	prediction-disorder-mobidb_lite
F1QVC6	Danio_rerio	245	0.347	85	2	61	prediction-disorder-mobidb_lite
A8KBL7	Danio_rerio	353	0.105	37	1	37	prediction-disorder-mobidb_lite
Q6TNQ8	Danio_rerio	565	0.538	304	3	238	prediction-disorder-mobidb_lite
Q6DRC0	Danio_rerio	515	0.08	41	1	41	prediction-disorder-mobidb_lite
Q6PE30	Danio_rerio	557	0.066	37	5	14	prediction-disorder-th_50
F1QGW6	Danio_rerio	472	0.055	26	5	13	prediction-disorder-th_50
F1QCE5	Danio_rerio	306	0.275	84	1	84	prediction-disorder-mobidb_lite
Q6P5J9	Danio_rerio	365	0.282	103	3	42	prediction-disorder-mobidb_lite
A0AB32TRZ9	Danio_rerio						
Q803D4	Danio_rerio	558	0.179	100	1	100	prediction-disorder-mobidb_lite
Q6DI31	Danio_rerio	305	0.121	37	6	19	prediction-disorder-th_50
A0A8M9QC17	Danio_rerio	577	0.118	68	2	40	prediction-disorder-mobidb_lite
Q6PBS9	Danio_rerio	131	0.282	37	1	37	prediction-disorder-mobidb_lite
B8JKQ1	Danio_rerio	757	0.616	466	7	179	prediction-disorder-mobidb_lite
Q7ZSY3	Danio_rerio	1627	0.369	600	6	200	prediction-disorder-mobidb_lite
A8DZG6	Danio_rerio	542	0.074	40	1	40	prediction-disorder-mobidb_lite
Q66I54	Danio_rerio	108	0.204	22	2	15	prediction-disorder-th_50
E7F5M3	Danio_rerio	595	0.05	30	5	15	prediction-disorder-th_50
A7MBT5	Danio_rerio	195	0.241	47	1	47	prediction-disorder-mobidb_lite
Q08BY9	Danio_rerio	630	0.371	234	3	114	prediction-disorder-mobidb_lite
Q6DBQ6	Danio_rerio	657	0.473	311	5	174	prediction-disorder-mobidb_lite
Q803D1	Danio_rerio	180	0.033	6	2	4	prediction-disorder-th_50
E9QJJ0	Danio_rerio	389	0.113	44	7	15	prediction-disorder-th_50
A0A8M2B770	Danio_rerio	724	0.254	184	2	161	prediction-disorder-mobidb_lite
Q6IQM0	Danio_rerio	125	0.152	19	2	10	prediction-disorder-th_50
A0A8M9Q8F0	Danio_rerio	508	0.453	230	1	230	prediction-disorder-mobidb_lite
F1QNX9	Danio_rerio	259	0.151	39	5	13	prediction-disorder-th_50
A0A8M2BDG6	Danio_rerio	1272	0.097	123	3	58	prediction-disorder-mobidb_lite
A0A8M1PGD6	Danio_rerio	322	0.109	35	1	35	prediction-disorder-mobidb_lite
Q8JHJ2	Danio_rerio	593	0.079	47	2	25	prediction-disorder-mobidb_lite
Q8JGS0	Danio_rerio	159	0.245	39	1	39	prediction-disorder-mobidb_lite
A0A8M3AN31	Danio_rerio	423	0.444	188	3	137	prediction-disorder-mobidb_lite
Q6PBY3	Danio_rerio	146	0.281	41	1	41	prediction-disorder-mobidb_lite
A0A8M9QET1	Danio_rerio	345	0.325	112	1	112	prediction-disorder-mobidb_lite
A0A286Y8C8	Danio_rerio	536	0.073	39	5	25	prediction-disorder-th_50
Q6Q420	Danio_rerio	130	0.031	4	1	4	prediction-disorder-th_50
F1Q8G3	Danio_rerio	632	0.84	531	3	461	prediction-disorder-mobidb_lite
Q6NZZ9	Danio_rerio	425	0.165	70	2	42	prediction-disorder-mobidb_lite
Q0VFW0	Danio_rerio	126	0.143	18	2	11	prediction-disorder-th_50
F1R3J9	Danio_rerio	348	0.06	21	1	21	prediction-disorder-mobidb_lite
Q9PW80	Danio_rerio	582	0.082	48	2	27	prediction-disorder-mobidb_lite
