accession	gene_name	species	protein_type	old_family	length	pfam_ids
Q92551	IP6K1	human	Kinase	Other	441	PF03770:IPK
Q92630	DYRK2	human	Kinase	Other	601	PF00069:Pkinase
Q92772	CDKL2	human	Kinase	CDK	493	PF00069:Pkinase
Q92918	MAP4K1	human	Kinase	MAPK	833	PF00780:CNH;PF00069:Pkinase
Q92989	CLP1	human	Kinase	Other	425	PF06807:Clp1;PF16573:CLP1_N;PF16575:CLP1_P
Q969G6	RFK	human	Kinase	Other	155	PF01687:Flavokinase
Q96BR1	SGK3	human	Kinase	Other	496	PF00069:Pkinase;PF00433:Pkinase_C;PF00787:PX
Q96C11	FGGY	human	Kinase	Other	551	PF02782:FGGY_C;PF00370:FGGY_N
Q96C45	ULK4	human	Kinase	Other	1275	PF23606:HEAT_ULK4;PF00069:Pkinase
Q96D53	COQ8B	human	Kinase	Other	544	PF03109:ABC1
Q96DU7	ITPKC	human	Kinase	Other	683	PF03770:IPK
Q96GD4	AURKB	human	Kinase	Aurora	344	PF00069:Pkinase
Q96GX5	MASTL	human	Kinase	Other	879	PF00069:Pkinase
Q96J92	WNK4	human	Kinase	Other	1243	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
Q96KB5	PBK	human	Kinase	Other	322	PF00069:Pkinase
Q96L34	MARK4	human	Kinase	Other	752	PF02149:KA1;PF00069:Pkinase;PF00627:UBA
Q96L96	ALPK3	human	Kinase	Other	1705	PF02816:Alpha_kinase;PF07679:I-set
Q96M32	AK7	human	Kinase	Other	723	PF00406:ADK;PF05186:Dpy-30
Q96MA6	AK8	human	Kinase	Other	479	PF00406:ADK
Q96NX5	CAMK1G	human	Kinase	Other	476	PF00069:Pkinase
Q96PC2	IP6K3	human	Kinase	Other	410	PF03770:IPK
Q96PF2	TSSK2	human	Kinase	Other	358	PF00069:Pkinase
Q96PN8	TSSK3	human	Kinase	Other	268	PF00069:Pkinase
Q96PY6	NEK1	human	Kinase	Other	1258	PF00069:Pkinase
Q96Q04	LMTK3	human	Kinase	Other	1460	PF07714:PK_Tyr_Ser-Thr
Q96Q15	SMG1	human	Kinase	Other	3661	PF02260:FATC;PF00454:PI3_PI4_kinase;PF15785:SMG1;PF17229:SMG1_N
Q96Q40	CDK15	human	Kinase	CDK	435	PF00069:Pkinase
Q96QP1	ALPK1	human	Kinase	Other	1244	PF02816:Alpha_kinase
Q96QS6	PSKH2	human	Kinase	Other	385	PF00069:Pkinase
Q96QT4	TRPM7	human	Kinase	Other	1865	PF02816:Alpha_kinase;PF18139:LSDAT_euk;PF25508:TRPM2;PF16519:TRPM_tetra
Q96RG2	PASK	human	Kinase	Other	1323	PF13426:PAS_9;PF00069:Pkinase
Q96RR4	CAMKK2	human	Kinase	Other	588	PF00069:Pkinase
Q96S38	RPS6KC1	human	Kinase	Other	1066	PF04212:MIT;PF00069:Pkinase;PF00787:PX
Q96S44	TP53RK	human	Kinase	Other	253	PF06293:Kdo
Q96S53	TESK2	human	Kinase	Other	571	PF07714:PK_Tyr_Ser-Thr
Q96SB4	SRPK1	human	Kinase	Other	655	PF00069:Pkinase
Q96T60	PNKP	human	Kinase	Other	521	PF13671:AAA_33;PF17913:FHA_2;PF08645:PNK3P
Q99558	MAP3K14	human	Kinase	MAPK	947	PF00069:Pkinase
Q99570	PIK3R4	human	Kinase	Other	1358	PF00069:Pkinase;PF22956:VPS15-like_hel;PF00400:WD40
Q99611	SEPHS2	human	Kinase	Other	448	PF00586:AIRS;PF02769:AIRS_C
Q99640	PKMYT1	human	Kinase	Other	499	PF00069:Pkinase
Q99683	MAP3K5	human	Kinase	MAPK	1374	PF19039:ASK_PH;PF20309:DRHyd-ASK;PF20302:HisK-N-like;PF13281:MAP3K_TRAF_bd;PF00069:Pkinase
Q99755	PIP5K1A	human	Kinase	Other	562	PF01504:PIP5K
Q99759	MAP3K3	human	Kinase	MAPK	626	PF00564:PB1;PF00069:Pkinase
Q99986	VRK1	human	Kinase	Other	396	PF00069:Pkinase
Q9BQI3	EIF2AK1	human	Kinase	Other	630	PF22949:HRI2_3H;PF00069:Pkinase
Q9BRR6	ADPGK	human	Kinase	Other	497	PF04587:ADP_PFK_GK
Q9BRS2	RIOK1	human	Kinase	Other	568	PF01163:RIO1
Q9BTU6	PI4K2A	human	Kinase	Other	479	PF00454:PI3_PI4_kinase
Q9BUB5	MKNK1	human	Kinase	Other	465	PF00069:Pkinase
Q9BVS4	RIOK2	human	Kinase	Other	552	PF01163:RIO1;PF09202:Rio2_N
Q9BWU1	CDK19	human	Kinase	CDK	502	PF00069:Pkinase
Q9BX84	TRPM6	human	Kinase	Other	2022	PF02816:Alpha_kinase;PF00520:Ion_trans;PF18139:LSDAT_euk;PF25508:TRPM2;PF16519:TRPM_tetra
Q9BXA6	TSSK6	human	Kinase	Other	273	PF00069:Pkinase
Q9BXA7	TSSK1B	human	Kinase	Other	367	PF00069:Pkinase
Q9BXM7	PINK1	human	Kinase	Other	581	PF00069:Pkinase
Q9BXU1	STK31	human	Kinase	Other	1019	PF00069:Pkinase;PF00567:TUDOR
Q9BYP7	WNK3	human	Kinase	Other	1800	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
Q9BYT3	STK33	human	Kinase	Other	514	PF00069:Pkinase
Q9BZ23	PANK2	human	Kinase	Other	570	PF03630:Fumble
Q9BZL6	PRKD2	human	Kinase	Other	878	PF00130:C1_1;PF00169:PH;PF00069:Pkinase;PF25525:Ubiquitin_PRKD1_N
Q9BZX2	UCK2	human	Kinase	Other	261	PF00485:PRK
Q9C098	DCLK3	human	Kinase	Other	648	PF00069:Pkinase
Q9H093	NUAK2	human	Kinase	Other	628	PF00069:Pkinase
Q9H0K1	SIK2	human	Kinase	Other	926	PF00069:Pkinase;PF23312:UBA_SIK3
Q9H1R3	MYLK2	human	Kinase	Other	596	PF00069:Pkinase
Q9H2G2	SLK	human	Kinase	Other	1235	PF00069:Pkinase;PF12474:PKK
Q9H2K8	TAOK3	human	Kinase	Other	898	PF00069:Pkinase
Q9H3S4	TPK1	human	Kinase	Other	243	PF04265:TPK_B1_binding;PF04263:TPK_catalytic
Q9H3Y6	SRMS	human	Kinase	Other	488	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
Q9H477	RBKS	human	Kinase	Other	322	PF00294:PfkB
Q9H479	FN3K	human	Kinase	Other	309	PF03881:Fructosamin_kin
Q9H4A3	WNK1	human	Kinase	Other	2382	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
Q9H4B4	PLK3	human	Kinase	PLK	646	PF00069:Pkinase;PF00659:POLO_box
Q9H5K3	POMK	human	Kinase	Other	350	PF07714:PK_Tyr_Ser-Thr
Q9H8X2	IPPK	human	Kinase	Other	491	PF06090:Ins_P5_2-kin
Q9H999	PANK3	human	Kinase	Other	370	PF03630:Fumble
Q9HA47	UCK1	human	Kinase	Other	277	PF00485:PRK
Q9HAZ1	CLK4	human	Kinase	Other	481	PF00069:Pkinase
Q9HBH9	MKNK2	human	Kinase	Other	465	PF00069:Pkinase
Q9HBU6	ETNK1	human	Kinase	Other	452	PF01633:Choline_kinase
Q9HBY8	SGK2	human	Kinase	Other	367	PF00069:Pkinase;PF00433:Pkinase_C
Q9HC98	NEK6	human	Kinase	Other	313	PF00069:Pkinase
Q9HCP0	CSNK1G1	human	Kinase	Other	422	PF12605:CK1gamma_C;PF00069:Pkinase
Q9NPI5	NMRK2	human	Kinase	Other	230	PF13238:AAA_18
Q9NQU5	PAK6	human	Kinase	Other	681	PF00786:PBD;PF00069:Pkinase
Q9NR20	DYRK4	human	Kinase	Other	520	PF00069:Pkinase
Q9NRA0	SPHK2	human	Kinase	Other	654	PF00781:DAGK_cat;PF19279:YegS_C
Q9NRH2	SNRK	human	Kinase	Other	765	PF00069:Pkinase
Q9NRM7	LATS2	human	Kinase	Other	1088	PF00069:Pkinase;PF00433:Pkinase_C
Q9NRP7	STK36	human	Kinase	Other	1315	PF13646:HEAT_2;PF00069:Pkinase
Q9NSY1	BMP2K	human	Kinase	Other	1161	PF15282:BMP2K_C;PF00069:Pkinase
Q9NVF9	ETNK2	human	Kinase	Other	386	PF01633:Choline_kinase
Q9NWW6	NMRK1	human	Kinase	Other	199	PF13238:AAA_18
Q9NWZ3	IRAK4	human	Kinase	Other	460	PF07714:PK_Tyr_Ser-Thr
Q9NWZ5	UCKL1	human	Kinase	Other	548	PF00485:PRK;PF14681:UPRTase
Q9NYA1	SPHK1	human	Kinase	Other	384	PF00781:DAGK_cat
Q9NYL2	MAP3K20	human	Kinase	MAPK	800	PF07714:PK_Tyr_Ser-Thr;PF07647:SAM_2
Q9NYV4	CDK12	human	Kinase	CDK	1490	PF00069:Pkinase
Q9NYY3	PLK2	human	Kinase	PLK	685	PF00069:Pkinase;PF00659:POLO_box
Q9NZJ5	EIF2AK3	human	Kinase	Other	1116	PF00069:Pkinase
Q9P0L2	MARK1	human	Kinase	Other	795	PF02149:KA1;PF00069:Pkinase;PF00627:UBA
Q9P1W9	PIM2	human	Kinase	Other	311	PF00069:Pkinase
Q9P286	PAK5	human	Kinase	Other	719	PF00786:PBD;PF00069:Pkinase
Q9P289	STK26	human	Kinase	Other	416	PF20929:PDCD10_N;PF00069:Pkinase
Q9P2K8	EIF2AK4	human	Kinase	Other	1649	PF12745:HGTP_anticodon2;PF00069:Pkinase;PF05773:RWD;PF13393:tRNA-synt_His
Q9UBF8	PI4KB	human	Kinase	Other	816	PF00454:PI3_PI4_kinase;PF21245:PI4KB-PIK1_PIK
Q9UBS0	RPS6KB2	human	Kinase	Other	482	PF00069:Pkinase;PF00433:Pkinase_C
Q9UEE5	STK17A	human	Kinase	Other	414	PF00069:Pkinase
Q9UEW8	STK39	human	Kinase	Other	545	PF12202:OSR1_C;PF00069:Pkinase
Q9UF33	EPHA6	human	Kinase	Other	1036	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
Q9UHD2	TBK1	human	Kinase	Other	729	PF00069:Pkinase;PF18394:TBK1_CCD1;PF18396:TBK1_ULD
Q9UHH9	IP6K2	human	Kinase	Other	426	PF03770:IPK
Q9UHJ6	SHPK	human	Kinase	Other	478	PF00370:FGGY_N
Q9UIJ7	AK3	human	Kinase	Other	227	PF00406:ADK;PF05191:ADK_lid
Q9UIK4	DAPK2	human	Kinase	Other	370	PF00069:Pkinase
Q9UJ70	NAGK	human	Kinase	Other	344	PF01869:BcrAD_BadFG
Q9UK32	RPS6KA6	human	Kinase	Other	745	PF00069:Pkinase;PF00433:Pkinase_C
Q9UKE5	TNIK	human	Kinase	Other	1360	PF00780:CNH;PF00069:Pkinase
Q9UKI8	TLK1	human	Kinase	Other	766	PF00069:Pkinase
Q9UL54	TAOK2	human	Kinase	Other	1235	PF00069:Pkinase
Q9UM73	ALK	human	Kinase	Other	1620	PF12810:ALK_LTK_GRD;PF00629:MAM;PF07714:PK_Tyr_Ser-Thr
Q9UPE1	SRPK3	human	Kinase	Other	567	PF00069:Pkinase
Q9UPQ8	DOLK	human	Kinase	Other	538	
Q9UPZ9	CILK1	human	Kinase	Other	632	PF00069:Pkinase
Q9UQ07	MOK	human	Kinase	Other	419	PF00069:Pkinase
Q9UQ88	CDK11A	human	Kinase	CDK	783	PF00069:Pkinase
Q9UQB9	AURKC	human	Kinase	Aurora	309	PF00069:Pkinase
Q9UQM7	CAMK2A	human	Kinase	Other	478	PF08332:CaMKII_AD;PF00069:Pkinase
Q9Y223	GNE	human	Kinase	Other	722	PF02350:Epimerase_2;PF00480:ROK
Q9Y243	AKT3	human	Kinase	AKT	479	PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
Q9Y259	CHKB	human	Kinase	Other	395	PF01633:Choline_kinase
Q9Y2H1	STK38L	human	Kinase	Other	464	PF00069:Pkinase;PF00433:Pkinase_C
Q9Y2H9	MAST1	human	Kinase	Other	1570	PF08926:DUF1908;PF17820:PDZ_6;PF00069:Pkinase
Q9Y2I7	PIKFYVE	human	Kinase	Other	2098	PF00118:Cpn60_TCP1;PF00610:DEP;PF01363:FYVE;PF01504:PIP5K
Q9Y2K2	SIK3	human	Kinase	Other	1321	PF00069:Pkinase;PF23312:UBA_SIK3
Q9Y2U5	MAP3K2	human	Kinase	MAPK	619	PF00564:PB1;PF00069:Pkinase
Q9Y3D8	AK6	human	Kinase	Other	172	PF13238:AAA_18
Q9Y3S1	WNK2	human	Kinase	Other	2297	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
Q9Y463	DYRK1B	human	Kinase	Other	629	PF00069:Pkinase
Q9Y4K4	MAP4K5	human	Kinase	MAPK	846	PF00780:CNH;PF00069:Pkinase
Q9Y572	RIPK3	human	Kinase	Other	518	PF00069:Pkinase;PF12721:RHIM
Q9Y5B8	NME7	human	Kinase	Other	376	PF00334:NDK;PF25364:PH_NDK7_N
Q9Y5S2	CDC42BPB	human	Kinase	Other	1711	PF00130:C1_1;PF00780:CNH;PF08826:DMPK_coil;PF15796:KELK;PF25346:PH_MRCK;PF00069:Pkinase
Q9Y6E0	STK24	human	Kinase	Other	443	PF20929:PDCD10_N;PF00069:Pkinase
Q9Y6K8	AK5	human	Kinase	Other	562	PF00406:ADK
Q9Y6M4	CSNK1G3	human	Kinase	Other	447	PF12605:CK1gamma_C;PF00069:Pkinase
Q9Y6R4	MAP3K4	human	Kinase	MAPK	1608	PF19431:MEKK4_N;PF00069:Pkinase
Q9Y6T7	DGKB	human	Kinase	Other	804	PF00130:C1_1;PF14513:DAG_kinase_N;PF00609:DAGK_acc;PF00781:DAGK_cat;PF13499:EF-hand_7
O43930	PRKY	human	Kinase	Other	277	PF00069:Pkinase
O60361		human	Kinase	Other	0	
P57058	HUNK	human	Kinase	Other	714	PF00069:Pkinase
Q14409	GK3	human	Kinase	Other	553	PF02782:FGGY_C;PF00370:FGGY_N
Q52WX2	SBK1	human	Kinase	Other	424	PF00069:Pkinase
Q5MAI5	CDKL4	human	Kinase	CDK	379	PF00069:Pkinase
Q6A1A2	PDPK2P	human	Kinase	Other	396	PF00069:Pkinase
Q6P3R8	NEK5	human	Kinase	Other	708	PF00069:Pkinase
Q6ZS86	GK5	human	Kinase	Other	529	PF02782:FGGY_C;PF00370:FGGY_N
Q86YV6	MYLK4	human	Kinase	Other	388	PF00069:Pkinase
Q96LW2	RSKR	human	Kinase	Other	410	PF00069:Pkinase
Q96M69	LRGUK	human	Kinase	Other	825	PF00625:Guanylate_kin;PF12799:LRR_4;PF14580:LRR_9
Q9HA64	FN3KRP	human	Kinase	Other	309	PF03881:Fructosamin_kin
Q9NY57	STK32B	human	Kinase	Other	414	PF00069:Pkinase
Q9Y6S9	RPS6KL1	human	Kinase	Other	549	PF04212:MIT;PF00069:Pkinase
A4QPH2	PI4KAP2	human	Kinase	Other	592	PF00454:PI3_PI4_kinase;PF19274:PI4K_N
P0C263	SBK2	human	Kinase	Other	348	PF00069:Pkinase
Q3MIX3	ADCK5	human	Kinase	Other	580	PF03109:ABC1
Q5T6J7	IDNK	human	Kinase	Other	187	PF01202:SKI
Q8IV42	PSTK	human	Kinase	Other	348	PF08433:KTI12
Q13670	PMS2P11	human	Kinase	Other	270	PF13589:HATPase_c_3
A1A5H8	yes1	zebrafish	Kinase	Other	546	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
A3QJU3	coq8b	zebrafish	Kinase	Other	624	PF03109:ABC1
A8C984	mylk3	zebrafish	Kinase	Other	715	PF00069:Pkinase
A8WIP6	cdk20	zebrafish	Kinase	CDK	344	PF00069:Pkinase
E7F3I6	clp1	zebrafish	Kinase	Other	443	PF06807:Clp1;PF16573:CLP1_N;PF16575:CLP1_P
F1QGZ6	melk	zebrafish	Kinase	Other	676	PF02149:KA1;PF00069:Pkinase;PF21594:UBA_MELK
F1QU13	alpk2	zebrafish	Kinase	Other	1966	PF02816:Alpha_kinase
F1QVU0	ltk	zebrafish	Kinase	Other	1530	PF12810:ALK_LTK_GRD;PF00629:MAM;PF07714:PK_Tyr_Ser-Thr
F8W3R9	alk	zebrafish	Kinase	Other	1705	PF00629:MAM;PF07714:PK_Tyr_Ser-Thr
O12990	jak1	zebrafish	Kinase	Other	1153	PF18379:FERM_F1;PF18377:FERM_F2;PF17887:Jak1_Phl;PF07714:PK_Tyr_Ser-Thr;PF21990:SH2_1
O13146	epha3	zebrafish	Kinase	Other	981	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
O13147	ephb3	zebrafish	Kinase	Other	500	PF14575:EphA2_TM;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr
O13148	epha4a	zebrafish	Kinase	Other	292	PF07714:PK_Tyr_Ser-Thr
O73791	tek	zebrafish	Kinase	Other	1116	PF00041:fn3;PF07679:I-set;PF10430:Ig_Tie2_1;PF07714:PK_Tyr_Ser-Thr
O73792	tie1	zebrafish	Kinase	Other	184	PF07714:PK_Tyr_Ser-Thr
O73875	ephb4a	zebrafish	Kinase	Other	987	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
O73878	ephb4b	zebrafish	Kinase	Other	976	PF14575:EphA2_TM;PF25599:Ephrin_CRD;PF01404:Ephrin_lbd;PF07699:Ephrin_rec_like;PF00041:fn3;PF07714:PK_Tyr_Ser-Thr;PF00536:SAM_1
Q1ECX4	tlk2	zebrafish	Kinase	Other	697	PF00069:Pkinase
Q1JPZ3	src	zebrafish	Kinase	Other	534	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q1L8L9	ak2	zebrafish	Kinase	Other	241	PF00406:ADK;PF05191:ADK_lid
Q1XHL7	grk7b	zebrafish	Kinase	Other	548	PF00069:Pkinase;PF00615:RGS
Q49GP3	pi4kb	zebrafish	Kinase	Other	835	PF00454:PI3_PI4_kinase;PF21245:PI4KB-PIK1_PIK
Q49HM9	grk7a	zebrafish	Kinase	Other	549	PF00069:Pkinase;PF00615:RGS
Q4G3H4	chuk	zebrafish	Kinase	Other	758	PF18397:IKBKB_SDD;PF12179:IKKbetaNEMObind;PF00069:Pkinase
Q4JL91	ippk	zebrafish	Kinase	Other	483	PF06090:Ins_P5_2-kin
Q4VSN1	dstyk	zebrafish	Kinase	Other	885	PF00069:Pkinase
Q5GIT4	kdr	zebrafish	Kinase	Other	1357	PF07679:I-set;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr;PF21339:VEGFR-1-like_Ig-like;PF17988:VEGFR-2_TMD;PF22854:VEGFR1-3_N_Ig-like
Q5MD89	flt4	zebrafish	Kinase	Other	1357	PF07679:I-set;PF00047:ig;PF22971:Ig_VEGFR-1-like_5th;PF07714:PK_Tyr_Ser-Thr;PF21339:VEGFR-1-like_Ig-like;PF17988:VEGFR-2_TMD;PF22854:VEGFR1-3_N_Ig-like
Q5RGU1	coq8a	zebrafish	Kinase	Other	619	PF03109:ABC1
Q5U3W1	pomk	zebrafish	Kinase	Other	347	PF07714:PK_Tyr_Ser-Thr
Q6DBX4	mastl	zebrafish	Kinase	Other	860	PF00069:Pkinase
Q6DEH3	camk2d1	zebrafish	Kinase	Other	491	PF08332:CaMKII_AD;PF00069:Pkinase
Q6DGS3	camk2d2	zebrafish	Kinase	Other	554	PF08332:CaMKII_AD;PF00069:Pkinase
Q6EWH2	fyna	zebrafish	Kinase	Other	537	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q6NW76	aurkb	zebrafish	Kinase	Aurora	320	PF00069:Pkinase
Q6P3K7	csnk1db	zebrafish	Kinase	Other	409	PF00069:Pkinase
Q6PE18	pi4k2a	zebrafish	Kinase	Other	447	PF00454:PI3_PI4_kinase
Q7T2E3	csnk1da	zebrafish	Kinase	Other	403	PF00069:Pkinase
Q7ZUQ3	stk3	zebrafish	Kinase	Other	492	PF11629:Mst1_SARAH;PF00069:Pkinase
Q7ZVS3	plk4	zebrafish	Kinase	PLK	940	PF00069:Pkinase;PF18190:Plk4_PB1;PF18409:Plk4_PB2
Q7ZW00	agk	zebrafish	Kinase	Other	422	PF19712:AGK_C;PF00781:DAGK_cat
Q7ZWE9	cmpk	zebrafish	Kinase	Other	196	PF00406:ADK
Q8AXB3	kdrl	zebrafish	Kinase	Other	1302	PF07679:I-set;PF00047:ig;PF13927:Ig_3;PF22971:Ig_VEGFR-1-like_5th;PF07714:PK_Tyr_Ser-Thr;PF21339:VEGFR-1-like_Ig-like;PF17988:VEGFR-2_TMD
Q8AYG3	ttk	zebrafish	Kinase	Other	982	PF00069:Pkinase
Q8JFR5	kita	zebrafish	Kinase	Other	976	PF13927:Ig_3;PF25305:Ig_PDGFR_d4;PF07714:PK_Tyr_Ser-Thr
Q8JG38	fgfr2	zebrafish	Kinase	Other	817	PF07679:I-set;PF07714:PK_Tyr_Ser-Thr
Q90413	fgfr4	zebrafish	Kinase	Other	922	PF07679:I-set;PF00047:ig;PF07714:PK_Tyr_Ser-Thr
Q90XC2	nek8	zebrafish	Kinase	Other	697	PF00069:Pkinase;PF25390:WD40_RLD
Q90XF2	prkci	zebrafish	Kinase	PKC	588	PF00130:C1_1;PF00564:PB1;PF00069:Pkinase;PF00433:Pkinase_C
Q90Z00	fgfr1a	zebrafish	Kinase	Other	810	PF07679:I-set;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q9DE49	pdgfra	zebrafish	Kinase	Other	1059	PF07679:I-set;PF25305:Ig_PDGFR_d4;PF07714:PK_Tyr_Ser-Thr
Q9DGD9	mapk8	zebrafish	Kinase	MAPK	384	PF00069:Pkinase
Q9I8N6	csf1r	zebrafish	Kinase	Other	977	PF13927:Ig_3;PF25305:Ig_PDGFR_d4;PF07714:PK_Tyr_Ser-Thr
Q9I8X3	fgfr3	zebrafish	Kinase	Other	800	PF07679:I-set;PF00047:ig;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q9PTF3	nme3	zebrafish	Kinase	Other	169	PF00334:NDK
Q9YI66	tyro3	zebrafish	Kinase	Other	874	PF07679:I-set;PF07714:PK_Tyr_Ser-Thr
C5J7W8	smg1	zebrafish	Kinase	Other	3640	PF02260:FATC;PF00454:PI3_PI4_kinase;PF15785:SMG1;PF17229:SMG1_N
F1RDG9	fynb	zebrafish	Kinase	Other	544	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q1LUA6	trio	zebrafish	Kinase	Other	3028	PF13716:CRAL_TRIO_2;PF07679:I-set;PF00069:Pkinase;PF00621:RhoGEF;PF16609:SH3-RhoG_link;PF00018:SH3_1;PF23587:SH3_KALRN;PF22697:SOS1_NGEF_PH;PF00435:Spectrin;PF23323:Spectrin_6
Q1LX51	wee2	zebrafish	Kinase	Other	532	PF00069:Pkinase
Q3B752	dtymk	zebrafish	Kinase	Other	212	PF02223:Thymidylate_kin
Q49GP5	pi4k2b	zebrafish	Kinase	Other	501	PF00454:PI3_PI4_kinase
Q5I0F6	prkar1aa	zebrafish	Kinase	PKA	379	PF00027:cNMP_binding;PF02197:RIIa
Q5PRD4	csnk1g1	zebrafish	Kinase	Other	421	PF12605:CK1gamma_C;PF00069:Pkinase
Q5RH51	fam20b	zebrafish	Kinase	Other	409	PF06702:Fam20C
Q696W0	speg	zebrafish	Kinase	Other	2995	PF00041:fn3;PF07679:I-set;PF00069:Pkinase
Q6DHU8	pbk	zebrafish	Kinase	Other	339	PF00069:Pkinase
Q6PFQ0	rps6ka6	zebrafish	Kinase	Other	740	PF00069:Pkinase;PF00433:Pkinase_C
Q7SY52	stk10	zebrafish	Kinase	Other	974	PF00069:Pkinase;PF12474:PKK
Q7ZTW4	sgk1	zebrafish	Kinase	Other	433	PF00069:Pkinase;PF00433:Pkinase_C
Q7ZU91	itpk1	zebrafish	Kinase	Other	396	PF05770:Ins134_P3_kin;PF17927:Ins134_P3_kin_N
Q7ZUS1	vrk1	zebrafish	Kinase	Other	425	PF00069:Pkinase
Q7ZW38	sephs1	zebrafish	Kinase	Other	392	PF00586:AIRS;PF02769:AIRS_C
Q90ZY4	sbk1	zebrafish	Kinase	Other	385	PF00069:Pkinase
A0JPE9	gk5	zebrafish	Kinase	Other	529	PF02782:FGGY_C;PF00370:FGGY_N
Q1RLU9	cdk15	zebrafish	Kinase	CDK	418	PF00069:Pkinase
Q32PP3	pdik1l	zebrafish	Kinase	Other	341	PF00069:Pkinase
Q501V0	pskh1	zebrafish	Kinase	Other	422	PF00069:Pkinase
Q502L7	ak8	zebrafish	Kinase	Other	486	PF00406:ADK
Q66I14	sephs3	zebrafish	Kinase	Other	447	PF00586:AIRS;PF02769:AIRS_C
Q66I71	uck1	zebrafish	Kinase	Other	277	PF00485:PRK
Q6AXJ9	cdkl1	zebrafish	Kinase	CDK	350	PF00069:Pkinase
Q6DI51	nme6	zebrafish	Kinase	Other	175	PF00334:NDK
Q6IQE1	pip4k2c	zebrafish	Kinase	Other	416	PF01504:PIP5K
Q6NSM8		zebrafish	Kinase	Other	1187	PF00069:Pkinase;PF23312:UBA_SIK3
Q7SYM0	uck2a	zebrafish	Kinase	Other	261	PF00485:PRK
Q7ZV79	uck2b	zebrafish	Kinase	Other	261	PF00485:PRK
Q90ZY6	tlk1b	zebrafish	Kinase	Other	756	PF00069:Pkinase
Q9YHZ5	pim2	zebrafish	Kinase	Other	310	PF00069:Pkinase
A8WFT6	hykk	zebrafish	Kinase	Other	355	PF01636:APH
Q08BL7	glyctk	zebrafish	Kinase	Other	502	PF13660:DUF4147;PF05161:MOFRL
Q6NUW9	fggy	zebrafish	Kinase	Other	545	PF02782:FGGY_C;PF00370:FGGY_N
A1Z7G7	Cirl	fly	GPCR	Other	1697	PF00002:7tm_2;PF16489:GAIN;PF01825:GPS;PF02140:SUEL_Lectin
O01668	Rh6	fly	GPCR	Other	369	PF00001:7tm_1
O97148	mth	fly	GPCR	Other	514	PF00002:7tm_2;PF06652:Methuselah_N
P04950	Rh3	fly	GPCR	Other	383	PF00001:7tm_1
P06002	ninaE	fly	GPCR	Other	373	PF00001:7tm_1
P08099	Rh2	fly	GPCR	Other	381	PF00001:7tm_1
P08255	Rh4	fly	GPCR	Other	378	PF00001:7tm_1
P16395	mAChR-A	fly	GPCR	Other	805	PF00001:7tm_1
P18537	fz	fly	GPCR	Other	581	PF01534:Frizzled;PF01392:Fz
P20905	5-HT7	fly	GPCR	Other	564	PF00001:7tm_1
P22270	Oct-TyrR	fly	GPCR	Other	601	PF00001:7tm_1
P22815	boss	fly	GPCR	Other	896	PF00003:7tm_3
P28285	5-HT1A	fly	GPCR	Other	834	PF00001:7tm_1
P28286	5-HT1B	fly	GPCR	Other	617	PF00001:7tm_1
P30974	TkR86C	fly	GPCR	Other	504	PF00001:7tm_1
P30975	TkR99D	fly	GPCR	Other	519	PF00001:7tm_1
P41596	Dop1R1	fly	GPCR	Other	511	PF00001:7tm_1
P91657	Rh5	fly	GPCR	Other	382	PF00001:7tm_1
P91682	smo	fly	GPCR	Other	1036	PF01534:Frizzled;PF01392:Fz
P91685	mGluR	fly	GPCR	Other	976	PF00003:7tm_3;PF01094:ANF_receptor
Q24563	Dop1R2	fly	GPCR	Other	539	PF00001:7tm_1
Q4LBB6	Octbeta3R	fly	GPCR	Other	1256	PF00001:7tm_1
Q4LBB9	Octbeta2R	fly	GPCR	Other	536	PF00001:7tm_1
Q4V622	CCHa2-R	fly	GPCR	Other	489	PF00001:7tm_1
